date,time_riyadh,platform,post_key,content_type,item,asset,buffer_mode,posted,buffer_post_id
2026-06-14,13:10,X,travel::riyadh::x,travel,الرياض,travel/images/x_1600x900/riyadh.png,customScheduled,false,
2026-06-14,20:30,Instagram,travel::riyadh::instagram,travel,الرياض,travel/images/instagram_1080x1350/riyadh.png,customScheduled,false,
2026-06-14,21:15,TikTok,travel::riyadh::tiktok,travel,الرياض,travel/images/tiktok_1080x1920/riyadh.png,customScheduled,false,
2026-06-15,13:10,X,travel::taif::x,travel,الطائف,travel/images/x_1600x900/taif.png,customScheduled,false,
2026-06-15,20:30,Instagram,travel::taif::instagram,travel,الطائف,travel/images/instagram_1080x1350/taif.png,customScheduled,false,
2026-06-15,21:15,TikTok,travel::taif::tiktok,travel,الطائف,travel/images/tiktok_1080x1920/taif.png,customScheduled,false,
2026-06-16,13:10,X,travel::bangkok::x,travel,بانكوك,travel/images/x_1600x900/bangkok.png,customScheduled,false,
2026-06-16,20:30,Instagram,travel::bangkok::instagram,travel,بانكوك,travel/images/instagram_1080x1350/bangkok.png,customScheduled,false,
2026-06-16,21:15,TikTok,travel::bangkok::tiktok,travel,بانكوك,travel/images/tiktok_1080x1920/bangkok.png,customScheduled,false,
2026-06-17,13:10,X,travel::dubai::x,travel,دبي,travel/images/x_1600x900/dubai.png,customScheduled,false,
2026-06-17,20:30,Instagram,travel::dubai::instagram,travel,دبي,travel/images/instagram_1080x1350/dubai.png,customScheduled,false,
2026-06-17,21:15,TikTok,travel::dubai::tiktok,travel,دبي,travel/images/tiktok_1080x1920/dubai.png,customScheduled,false,
2026-06-18,13:10,X,travel::vietnam::x,travel,فيتنام,travel/images/x_1600x900/vietnam.png,customScheduled,false,
2026-06-18,20:30,Instagram,travel::vietnam::instagram,travel,فيتنام,travel/images/instagram_1080x1350/vietnam.png,customScheduled,false,
2026-06-18,21:15,TikTok,travel::vietnam::tiktok,travel,فيتنام,travel/images/tiktok_1080x1920/vietnam.png,customScheduled,false,
2026-06-19,13:10,X,travel::istanbul::x,travel,إسطنبول,travel/images/x_1600x900/istanbul.png,customScheduled,false,
2026-06-19,20:30,Instagram,travel::istanbul::instagram,travel,إسطنبول,travel/images/instagram_1080x1350/istanbul.png,customScheduled,false,
2026-06-19,21:15,TikTok,travel::istanbul::tiktok,travel,إسطنبول,travel/images/tiktok_1080x1920/istanbul.png,customScheduled,false,
2026-06-20,13:10,X,travel::london::x,travel,لندن,travel/images/x_1600x900/london.png,customScheduled,false,
2026-06-20,20:30,Instagram,travel::london::instagram,travel,لندن,travel/images/instagram_1080x1350/london.png,customScheduled,false,
2026-06-20,21:15,TikTok,travel::london::tiktok,travel,لندن,travel/images/tiktok_1080x1920/london.png,customScheduled,false,
2026-06-21,13:10,X,travel::paris::x,travel,باريس,travel/images/x_1600x900/paris.png,customScheduled,false,
2026-06-21,20:30,Instagram,travel::paris::instagram,travel,باريس,travel/images/instagram_1080x1350/paris.png,customScheduled,false,
2026-06-21,21:15,TikTok,travel::paris::tiktok,travel,باريس,travel/images/tiktok_1080x1920/paris.png,customScheduled,false,
2026-06-22,13:10,X,travel::phuket::x,travel,بوكيت,travel/images/x_1600x900/phuket.png,customScheduled,false,
2026-06-22,20:30,Instagram,travel::phuket::instagram,travel,بوكيت,travel/images/instagram_1080x1350/phuket.png,customScheduled,false,
2026-06-22,21:15,TikTok,travel::phuket::tiktok,travel,بوكيت,travel/images/tiktok_1080x1920/phuket.png,customScheduled,false,
2026-06-23,13:10,X,travel::abha::x,travel,أبها,travel/images/x_1600x900/abha.png,customScheduled,false,
2026-06-23,20:30,Instagram,travel::abha::instagram,travel,أبها,travel/images/instagram_1080x1350/abha.png,customScheduled,false,
2026-06-23,21:15,TikTok,travel::abha::tiktok,travel,أبها,travel/images/tiktok_1080x1920/abha.png,customScheduled,false,
2026-06-24,13:10,X,travel::cairo::x,travel,القاهرة,travel/images/x_1600x900/cairo.png,customScheduled,false,
2026-06-24,20:30,Instagram,travel::cairo::instagram,travel,القاهرة,travel/images/instagram_1080x1350/cairo.png,customScheduled,false,
2026-06-24,21:15,TikTok,travel::cairo::tiktok,travel,القاهرة,travel/images/tiktok_1080x1920/cairo.png,customScheduled,false,
2026-06-25,13:10,X,travel::rome::x,travel,روما,travel/images/x_1600x900/rome.png,customScheduled,false,
2026-06-25,20:30,Instagram,travel::rome::instagram,travel,روما,travel/images/instagram_1080x1350/rome.png,customScheduled,false,
2026-06-25,21:15,TikTok,travel::rome::tiktok,travel,روما,travel/images/tiktok_1080x1920/rome.png,customScheduled,false,
2026-06-26,13:10,X,travel::tokyo::x,travel,طوكيو,travel/images/x_1600x900/tokyo.png,customScheduled,false,
2026-06-26,20:30,Instagram,travel::tokyo::instagram,travel,طوكيو,travel/images/instagram_1080x1350/tokyo.png,customScheduled,false,
2026-06-26,21:15,TikTok,travel::tokyo::tiktok,travel,طوكيو,travel/images/tiktok_1080x1920/tokyo.png,customScheduled,false,
